"Time (ms)","Recording (a.u.)"
1.793817948E1,4.882812500E-4
1.795901360E1,3.051757812E-4
1.797984772E1,3.662109375E-4
1.800068184E1,4.577636719E-4
1.802151597E1,3.662109375E-4
1.804235009E1,4.272460938E-4
1.806318421E1,3.051757812E-4
1.808401833E1,4.882812500E-4
1.810485246E1,5.187988281E-4
1.812568658E1,3.356933594E-4
1.814652070E1,3.662109375E-4
1.816735482E1,4.577636719E-4
1.818818895E1,3.662109375E-4
1.820902307E1,3.051757812E-4
1.822985719E1,4.272460938E-4
1.825069131E1,4.882812500E-4
1.827152544E1,3.051757812E-4
1.829235956E1,4.577636719E-4
1.831319368E1,4.577636719E-4
1.833402780E1,4.272460938E-4
1.835486193E1,4.882812500E-4
1.837569605E1,4.577636719E-4
1.839653017E1,6.103515625E-4
1.841736429E1,5.187988281E-4
1.843819842E1,6.408691406E-4
1.845903254E1,5.187988281E-4
1.847986666E1,5.493164062E-4
1.850070078E1,5.798339844E-4
1.852153491E1,5.493164062E-4
1.854236903E1,6.103515625E-4
1.856320315E1,5.493164062E-4
1.858403727E1,5.493164062E-4
1.860487140E1,5.187988281E-4
1.862570552E1,4.882812500E-4
1.864653964E1,4.882812500E-4
1.866737376E1,5.493164062E-4
1.868820789E1,5.187988281E-4
1.870904201E1,6.103515625E-4
1.872987613E1,5.187988281E-4
1.875071025E1,4.882812500E-4
1.877154438E1,4.882812500E-4
1.879237850E1,4.882812500E-4
1.881321262E1,4.577636719E-4
1.883404674E1,4.272460938E-4
1.885488087E1,4.882812500E-4
1.887571499E1,4.272460938E-4
1.889654911E1,3.967285156E-4
1.891738323E1,3.356933594E-4
1.893821736E1,3.662109375E-4
1.895905148E1,3.662109375E-4
1.897988560E1,3.662109375E-4
1.900071972E1,2.746582031E-4
1.902155385E1,3.051757812E-4
1.904238797E1,3.051757812E-4
1.906322209E1,2.441406250E-4
1.908405621E1,1.525878906E-4
1.910489034E1,2.441406250E-4
1.912572446E1,1.525878906E-4
1.914655858E1,1.831054688E-4
1.916739270E1,1.220703125E-4
1.918822683E1,1.525878906E-4
1.920906095E1,2.441406250E-4
1.922989507E1,9.155273438E-5
1.925072919E1,9.155273438E-5
1.927156332E1,9.155273438E-5
